% interestacl94.arff

@relation interest

@attribute prevword_3 String
@attribute prevword_2 String
@attribute prevword_1 String
@attribute nextword_1 String
@attribute nextword_2 String
@attribute nextword_3 String
@attribute prevtag_3 String
@attribute prevtag_2 String
@attribute prevtag_1 String
@attribute nexttag_1 String
@attribute nexttag_2 String
@attribute nexttag_3 String
@attribute 'Class' {'interest1', 'interest2', 'interest3', 'interest4', 'interest5', 'interest6'}

@data
'revenue','derived','from','and','dividends','jumped','NN','VBN','IN','CC','NNS','VBD','interest6'
'the','company','Xs','in','national','car','DT','NN','POS','IN','NP','NP','interest5'
'X','including','net','X','down','slightly','X','VBG','JJ','X','RB','RB','interest6'
'economy','working','and','rates','down','X','NN','VBG','CC','NNS','RB','X','interest6'
'the','national','economic','are','much','better','DT','JJ','JJ','VBP','RB','RB','interest4'
'allowing','the','private','of','bankers','and','VBG','DT','JJ','IN','NNS','CC','interest4'
'the','most','public','X','the','underlying','DT','RBS','JJ','X','DT','JJ','interest1'
'taxation','and','minority','of','14','million','NN','CC','NN','IN','AB','AB','interest5'
'NULL','NULL','shortXterm','rates','fell','yesterday','NULL','NULL','JJ','NNS','VBD','NN','interest6'
'why','all','the','X','NULL','NULL','WRB','DT','DT','X','NULL','NULL','interest1'
'rate','and','higher','income','X','NULL','NN','CC','JJR','NN','X','NULL','interest6'
'a','15','%','in','birkel','X','DT','AB','NN','IN','NP','X','interest5'
'and','foreign','annual','rates','below','are','CC','JJ','JJ','NNS','RB','VBP','interest6'
'together','its','trading','in','the','region','RB','PPX','NN','IN','DT','NN','interest5'
'a','drop','in','rates','X','which','DT','NN','IN','NNS','X','WDT','interest6'
'holding','company','with','in','oil','and','VBG','NN','IN','IN','NN','CC','interest5'
'a','56','%','in','the','new','DT','AB','NN','IN','DT','JJ','interest5'
'NULL','NULL','other','are','owned','by','NULL','NULL','JJ','VBP','VBN','IN','interest5'
'liquidity','X','the','rate','on','its','NN','X','DT','NN','IN','PPX','interest6'
'they','expect','potential','from','banks','throughout','PP','VBP','JJ','IN','NNS','IN','interest1'
'allowing','a','key','rate','to','drift','VBG','DT','JJ','NN','TO','VB','interest6'
'key','federal','funds','rate','to','dip','JJ','JJ','NNS','NN','TO','VB','interest6'
'which','influences','other','rates','X','will','WDT','VBZ','JJ','NNS','X','MD','interest6'
'bring','down','shortXterm','rates','X','and','VB','RB','JJ','NNS','X','CC','interest6'
'to','supply','lower','rates','and','easy','TO','VB','JJR','NNS','CC','JJ','interest6'
'fed','could','lower','rates','were','it','NP','MD','VB','NNS','VBD','PP','interest6'
'can','lower','shortXterm','rates','by','pumping','MD','VB','JJ','NNS','IN','VBG','interest6'
'right','now','X','rates','will','go','RB','RB','X','NNS','MD','VB','interest6'
'X','concerning','their','in','lockheed','X','X','VBG','PPX','IN','NP','X','interest5'
'additional','increase','in','rates','X','which','JJ','NN','IN','NNS','X','WDT','interest6'
'about','earnings','and','rates','rather','than','IN','NNS','CC','NNS','RB','IN','interest6'
'britain','Xs','base','rate','stands','at','NP','POS','NN','NN','VBZ','IN','interest6'
'him','to','lower','rates','X','NULL','PP','TO','VB','NNS','X','NULL','interest6'
'mrX','simmons','Xs','in','the','company','NP','NP','POS','IN','DT','NN','interest1'
'and','1987','X','rates','have','nXt','CC','AB','X','NNS','VBP','RB','interest6'
'will','quickly','lower','rates','X','a','MD','RB','VB','NNS','X','DT','interest6'
'move','to','lower','rates','X','for','NN','TO','VB','NNS','X','IN','interest6'
'west','germany','raised','rates','X','NULL','NP','NP','VBD','NNS','X','NULL','interest6'
'would','nXt','lower','rates','merely','to','MD','RB','VB','NNS','RB','TO','interest6'
'tax','deductibility','of','for','certain','debtXfinanced','NN','NN','IN','IN','JJ','JJ','interest6'
'longXterm','government','bond','rates','X','currently','JJ','NN','NN','NNS','X','RB','interest6'
'not','pay','the','X','but','X','RB','VB','DT','X','CC','X','interest6'
'X','fees','and','rates','paid','to','X','NNS','CC','NNS','VBN','TO','interest6'
'that','had','expressed','in','the','ual','WDT','VBD','VBN','IN','DT','NP','interest1'
'on','years','of','income','from','these','IN','NNS','IN','NN','IN','DT','interest6'
'NULL','NULL','the','rate','promised','the','NULL','NULL','DT','NN','VBD','DT','interest6'
'narrowing','difference','between','rates','in','the','VBG','NN','IN','NNS','IN','DT','interest6'
'begun','to','reduce','rates','and','could','VBN','TO','VB','NNS','CC','MD','interest6'
'NULL','NULL','lower','rates','usually','diminish','NULL','NULL','JJR','NNS','RB','VBP','interest6'
'concluded','that','uXsX','rates','would','remain','VBD','IN','NP','NNS','MD','VB','interest6'
'raised','official','domestic','rates','X','mostly','VBD','JJ','JJ','NNS','X','RB','interest6'
'germans','raising','X','X','rates','X','NNS','VBG','X','X','NNS','X','interest6'
'of','lower','uXsX','rates','X','NULL','IN','JJR','NP','NNS','X','NULL','interest6'
'that','X','the','of','fair','and','IN','X','DT','IN','JJ','CC','interest4'
'has','sold','its','in','the','parisian','VBZ','VBN','PPX','IN','DT','JJ','interest5'
'out','the','hooker','in','his','company','RP','DT','NP','IN','PPX','NN','interest5'
'was','weak','X','rates','were','rising','VBD','JJ','X','NNS','VBD','VBG','interest6'
'a','100','%','in','the','well','DT','AB','NN','IN','DT','NN','interest5'
'much','broader','business','and','so','are','RB','JJR','NN','CC','RB','VBP','interest5'
'believe','pXg','Xs','in','a','superconcentrated','VBP','NP','POS','IN','DT','JJ','interest1'
'uXsX','agencies','with','in','korean','agencies','NP','NNS','IN','IN','JJ','NNS','interest5'
'the','pessimism','over','rates','caused','by','DT','NN','IN','NNS','VBN','IN','interest6'
'unlikely','to','allow','rates','to','fall','JJ','TO','VB','NNS','TO','VB','interest6'
'losses','caused','by','payments','on','debt','NNS','VBN','IN','NNS','IN','NN','interest6'
'banks','on','the','from','loans','used','NNS','IN','DT','IN','NNS','VBN','interest6'
'that','postpone','cash','payments','X','NULL','WDT','VBP','NN','NNS','X','NULL','interest6'
'X','given','current','rates','X','and','X','VBN','JJ','NNS','X','CC','interest6'
'unlike','1987','X','rates','have','been','IN','AB','X','NNS','VBP','VBN','interest6'
'board','to','ease','rates','very','much','NP','TO','VB','NNS','RB','RB','interest6'
'city','cellular','telephone','X','and','in','NP','JJ','NN','X','CC','IN','interest5'
'and','foreign','annual','rates','below','are','CC','JJ','JJ','NNS','RB','VBP','interest6'
'acquiring','a','minority','X','NULL','NULL','VBG','DT','NN','X','NULL','NULL','interest5'
'resulting','decline','in','rates','and','the','VBG','NN','IN','NNS','CC','DT','interest6'
'effects','of','lower','rates','and','a','NNS','IN','JJR','NNS','CC','DT','interest6'
'bring','down','shortXterm','rates','in','its','VB','RP','JJ','NNS','IN','PPX','interest6'
'lowered','a','key','rate','known','as','VBD','DT','JJ','NN','VBN','IN','interest6'
'securities','pay','only','X','NULL','NULL','NNS','VBP','JJ','X','NULL','NULL','interest6'
'to','pursue','personal','X','NULL','NULL','TO','VB','JJ','X','NULL','NULL','interest3'
'it','also','has','in','military','electronics','PP','RB','VBZ','IN','JJ','NNS','interest5'
'NULL','the','annual','rate','for','each','NULL','DT','JJ','NN','IN','DT','interest6'
'X','and','that','rates','are','lower','X','CC','IN','NNS','VBP','JJR','interest6'
'nation','Xs','base','rate','X','NULL','NN','POS','NN','NN','X','NULL','interest6'
'companies','with','bank','and','follows','a','NNS','IN','NN','CC','VBZ','DT','interest5'
'weight','of','hefty','payments','X','NULL','NN','IN','JJ','NNS','X','NULL','interest6'
'tardy','on','some','payments','and','to','JJ','IN','DT','NNS','CC','TO','interest6'
'shift','in','the','rate','outlook','X','NN','IN','DT','NN','NN','X','interest6'
'billion','of','coupon','payments','X','NULL','AB','IN','NN','NNS','X','NULL','interest6'
'would','default','on','payments','covering','some','MD','VB','IN','NNS','VBG','DT','interest6'
'bonds','X','suspended','payments','X','NULL','NNS','X','VBN','NNS','X','NULL','interest6'
'unlikely','to','pay','on','a','total','JJ','TO','VB','IN','DT','NN','interest6'
'is','about','compound','and','the','reaching','VBZ','IN','JJ','CC','DT','NN','interest6'
'paying','exorbitant','compound','X','NULL','NULL','VBG','JJ','NN','X','NULL','NULL','interest6'
'were','borrowing','at','rates','higher','than','VBD','VBG','IN','NNS','JJR','IN','interest6'
'british','airways','own','in','companies','that','NP','NPS','VBP','IN','NNS','WDT','interest5'
'NULL','NULL','NULL','income','and','most','NULL','NULL','NULL','NN','CC','JJS','interest6'
'skim','off','the','X','and','X','VB','IN','DT','X','CC','X','interest6'
'topics','of','mutual','X','said','gibson','NNS','IN','JJ','X','VBD','NP','interest4'
'NULL','nbc','Xs','may','revive','the','NULL','NP','POS','MD','VB','DT','interest1'
'passive','X','minority','in','a','programXmaker','JJ','X','NN','IN','DT','NN','interest5'
'since','nbc','Xs','in','the','qintex','IN','NP','POS','IN','DT','NP','interest1'
'up','for','its','X','but','it','IN','IN','PPX','X','CC','PP','interest4'
'protecting','its','own','X','NULL','NULL','VBG','PPX','JJ','X','NULL','NULL','interest4'
'will','pay','an','rate','that','will','MD','VB','DT','NN','WDT','MD','interest6'
'calculate','the','exact','rate','because','of','VB','DT','JJ','NN','IN','IN','interest6'
'area','officials','expect','rates','to','decline','NN','NNS','VBP','NNS','TO','VB','interest6'
'and','in','the','of','the','people','CC','IN','DT','IN','DT','NNS','interest4'
'exchange','rates','and','rates','X','NULL','NN','NNS','CC','NNS','X','NULL','interest6'
'inflation','with','high','rates','X','mrX','NN','IN','JJ','NNS','X','NP','interest6'
'possibility','of','uXsX','rates','being','cut','NN','IN','NP','NNS','VBG','NN','interest6'
'X','as','shortXterm','rates','already','had','X','IN','JJ','NNS','RB','VBD','interest6'
'%','its','controlling','in','honeywell','bull','NN','PPX','VBG','IN','NP','NP','interest5'
'narrowing','difference','in','rates','on','loans','VBG','NN','IN','NNS','IN','NNS','interest6'
'has','been','much','in','the','company','VBZ','VBN','JJ','IN','DT','NN','interest1'
'reserve','is','allowing','rates','to','ease','NP','VBZ','VBG','NNS','TO','VB','interest6'
'6X634','%','true','cost','X','NULL','AB','NN','JJ','NN','X','NULL','interest6'
'NULL','foreign','bonds','rates','and','inflation','NULL','JJ','NNS','NNS','CC','NN','interest6'
'green','sold','its','in','shellerXglobe','to','NP','VBD','PPX','IN','NP','TO','interest5'
'NULL','reduced','uXsX','in','panama','did','NULL','VBN','NP','IN','NP','VBD','interest1'
'federal','pensions','and','payments','X','from','JJ','NNS','CC','NNS','X','IN','interest6'
'move','to','lower','rates','X','remains','NN','TO','VB','NNS','X','VBZ','interest6'
'support','from','falling','rates','X','NULL','NN','IN','VBG','NNS','X','NULL','interest6'
'the','change','in','rates','reminding','people','DT','NN','IN','NNS','VBG','NNS','interest6'
'city','cellular','telephone','and','X','in','NP','JJ','NN','CC','X','IN','interest5'
'operating','profit','before','and','corporate','expense','NN','NN','IN','CC','JJ','NN','interest6'
'pound','and','high','rates','for','as','NN','CC','JJ','NNS','IN','RB','interest6'
'losses','caused','by','payments','on','debt','NNS','VBN','IN','NNS','IN','NN','interest6'
'that','postpone','cash','payments','X','NULL','WDT','VBP','NN','NNS','X','NULL','interest6'
'marketplace','to','the','of','society','only','NN','TO','DT','IN','NN','RB','interest4'
'moves','to','cut','rates','X','NULL','NNS','TO','VB','NNS','X','NULL','interest6'
'priced','with','an','rate','that','will','VBN','IN','DT','NN','WDT','MD','interest6'
'performance','to','high','rates','they','must','NN','TO','JJ','NNS','PP','MD','interest6'
'rise','in','net','revenue','X','a','NN','IN','JJ','NN','X','DT','interest6'
'in','its','net','margin','from','the','IN','PPX','JJ','NN','IN','DT','interest6'
'period','of','declining','rates','X','primarily','NN','IN','VBG','NNS','X','RB','interest6'
'at','a','reduced','rate','of','a','IN','DT','VBN','NN','IN','DT','interest6'
'X','which','has','in','oil','X','X','WDT','VBZ','IN','NN','X','interest5'
'were','made','at','rates','and','fees','VBD','VBN','IN','NNS','CC','NNS','interest6'
'sell','a','majority','in','the','italianXbased','VB','DT','NN','IN','DT','JJ','interest5'
'substantial','X','minority','in','landini','and','JJ','X','NN','IN','NP','CC','interest5'
'wo','nXt','lower','rates','to','rein','MD','RB','VB','NNS','TO','VB','interest6'
'NULL','NULL','its','is','adjustable','X','NULL','NULL','PPX','VBZ','JJ','X','interest6'
'paying','19','14','X','NULL','NULL','VBG','AB','AB','X','NULL','NULL','interest6'
'and','lower','its','payments','X','he','CC','VB','PPX','NNS','X','PP','interest6'
'carrying','costs','in','and','dividends','had','NN','NNS','IN','CC','NNS','VBD','interest6'
'terms','provide','that','could','be','reset','NNS','VBP','IN','MD','VB','NN','interest6'
'the','business','caused','on','the','junk','DT','NN','VBD','IN','DT','NN','interest6'
'company','Xs','annual','payments','by','X','NN','POS','JJ','NNS','IN','X','interest6'
'how','the','equity','would','be','divided','WRB','DT','NN','MD','VB','VBN','interest5'
'to','pursue','other','X','NULL','NULL','TO','VB','JJ','X','NULL','NULL','interest3'
'has','X','no','X','in','a','VBZ','X','DT','X','IN','DT','interest1'
'ge','X','with','in','electrical','products','NP','X','IN','IN','JJ','NNS','interest5'
'a','decline','in','rates','X','an','DT','NN','IN','NNS','X','DT','interest6'
'for','inflation','and','rates','this','year','IN','NN','CC','NNS','DT','NN','interest6'
'a','6X7','%','rate','on','threeXmonth','DT','AB','NN','NN','IN','JJ','interest6'
'ge','also','has','in','consumer','and','NP','RB','VBZ','IN','NN','CC','interest5'
'and','foreign','annual','rates','below','are','CC','JJ','JJ','NNS','RB','VBP','interest6'
'X','which','has','in','making','helicopters','X','WDT','VBZ','IN','VBG','NNS','interest5'
'into','their','separate','and','principal','components','IN','PPX','JJ','CC','JJ','NNS','interest6'
'require','a','higher','rate','that','of','VB','DT','JJR','NN','IN','IN','interest6'
'its','35X45','%','in','tank','maker','PPX','AB','NN','IN','NN','NN','interest5'
'the','company','has','in','publishing','largeXtypeface','DT','NN','VBZ','IN','VBG','NN','interest5'
'telecom','brought','controlling','in','sprint','from','NP','VBD','JJ','IN','NP','IN','interest5'
'Xs','slimmer','net','margin','X','the','POS','JJR','JJ','NN','X','DT','interest6'
'NULL','NULL','net','income','rose','4X4','NULL','NULL','JJ','NN','VBD','AB','interest6'
'82','million','of','payments','owed','but','AB','AB','IN','NNS','VBN','CC','interest6'
'state','Xs','X','in','protecting','potential','NN','POS','X','IN','VBG','JJ','interest1'
'NULL','NULL','falling','rates','prompt','cities','NULL','NULL','VBG','NNS','VBP','NNS','interest6'
'X','we','feel','rates','are','pretty','X','PP','VBP','NNS','VBP','RB','interest6'
'the','buyers','X','in','the','hotels','DT','NNS','POS','IN','DT','NNS','interest1'
'back','debt','and','payments','X','but','RB','NN','CC','NNS','X','CC','interest6'
'back','debt','and','payments','oppose','the','RB','NN','CC','NNS','VBP','DT','interest6'
'that','nbc','Xs','was','never','meant','IN','NP','POS','VBD','RB','VBN','interest1'
'such','things','as','on','debt','X','JJ','NNS','IN','IN','NN','X','interest6'
'runXup','of','debt','in','the','1980s','NN','IN','NN','IN','DT','NNS','interest6'
'debt','and','net','payments','now','at','NN','CC','JJ','NNS','RB','IN','interest6'
'has','taken','an','in','religion','X','VBZ','VBN','DT','IN','NN','X','interest1'
'already','stirred','intense','among','major','drug','RB','VBN','JJ','IN','JJ','NN','interest1'
'NULL','NULL','commercial','is','intense','X','NULL','NULL','JJ','VBZ','JJ','X','interest1'
'a','very','broad','in','low','cholesterol','DT','RB','JJ','IN','JJ','NN','interest1'
'watching','them','with','X','NULL','NULL','VBG','PP','IN','X','NULL','NULL','interest1'
'retreat','of','shortXterm','rates','X','NULL','NN','IN','JJ','NNS','X','NULL','interest6'
'of','higher','shortXterm','rates','in','the','IN','JJR','JJ','NNS','IN','DT','interest6'
'negus','noted','that','rates','generally','declined','NP','VBD','IN','NNS','RB','VBD','interest6'
'reinvested','and','that','rates','remain','constant','VBN','CC','IN','NNS','VBP','JJ','interest6'
'47','%','voting','X','NULL','NULL','AB','NN','NN','X','NULL','NULL','interest5'
'american','presidency','with','X','NULL','NULL','JJ','NN','IN','X','NULL','NULL','interest1'
'their','own','best','to','cooperate','as','PPX','JJ','JJS','TO','VB','IN','interest4'
